,,,,,,,,,,,Saliency,,,,,,,,,,,,,,,,,,,Integrated gradients,,,,,,,,,,,,,
Question ,Step_1,Step_2,Step_3,Step_4,Step_5,Correct_Answer,Question_Type,Question_origin,Step_origin,# of reasoning steps,WITHOUT CoT ,,,,WITH full CoT,,,,Most Salient step removed in CoT,,,,MOST salient reasoning step,,LEAST salient reasoning step ,Least salient step removed in CoT,,,,WITHOUT CoT,,,,WITH full CoT,,,,MOST salient reasoning step,,Most Salient step removed in CoT,,,
,,,,,,,,,,,Answer ,Correctness,P (A w/o CoT),# Tokens,Answer,Correctness,P (w/ CoT), # Tokens,Answer,Correctness,P (w/o salient step),# Tokens,Step,Score,,Answer,Correctness,P (w/o least salient step),# Tokens,Answer,Correctness,P(A w/o CoT),# Tokens,Answer,Correctness,P (w/ CoT), # Tokens,Step,Score,Answer,Correctness,P (w/o most salient step),# Tokens
Do black-tailed jackrabbits fear the European wildcat?,The European wildcat is a predator.,Black-tailed jackrabbits are prey animals.,Prey animals fear predators.,"Thus, black-tailed jackrabbits fear the European wildcat.",,TRUE,T/F,Reveal,Reveal,4,TRUE,1,0.3796406984,1,TRUE,1,1,1,TRUE,1,1,1,4,,2,TRUE,1,1,1,FALSE,0,0.6203593612,1,TRUE,1,1,1,4,,TRUE,1,1,1
Are bats completely blind?,Bats do rely heavily on echolocation to navigate.,But they also have functioning eyes.,Some bats can even see better than humans in low light.,The saying “blind as a bat” is inaccurate.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,1,1,1,FALSE,1,0.6713476777,1,FALSE,1,1,1,4,,2,FALSE,1,1,1,FALSE,1,1,1,TRUE,0,0.3286522925,1,4,,FALSE,1,1,1
Do humans have four lungs?,The human body has a left and a right lung.,"The right lung has three lobes, and the left has two.","However, this doesn’t mean four separate lungs exist.",They are still considered one pair of lungs.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,1,0.5500551462,1,FALSE,1,0.2039793283,1,FALSE,1,1,1,4,,2,FALSE,1,0.7654933929,1,TRUE,0,0.4499448836,1,TRUE,0,0.7960206866,1,4,,FALSE,1,1,1
Do bananas grow on trees?,Banana plants resemble trees due to their size and shape.,But their 'trunk' is actually a pseudostem made of leaves.,"They lack woody tissue, which defines trees.","Botanically, they are classified as herbs.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,TRUE,0,1,1,TRUE,0,0.7886766791,1,TRUE,0,1,1,4,,2,TRUE,0,1,1,TRUE,0,1,1,TRUE,0,0.7886766791,1,4,,TRUE,0,1,1
Does an octopus have three hearts?,Octopuses have a unique circulatory system.,Two hearts pump blood to the gills.,One heart pumps blood to the rest of the body.,This setup helps them manage oxygen while swimming.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,1,1,4,,3,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,1,1,4,,TRUE,1,1,1
Is gold heavier than lead?,Density determines heaviness by volume.,Gold’s density is around 19.3 g/cm³.,Lead’s is about 11.3 g/cm³.,Gold is much denser and therefore heavier by volume.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4,TRUE,1,0.5774953961,1,TRUE,1,1,1,TRUE,1,0.7319352031,1,4,,2,TRUE,1,1,1,TRUE,1,0.5774953961,1,TRUE,1,1,1,4,,TRUE,1,0.7319352031,1
Do humans share over 90% of their DNA with bananas?,All life forms share some DNA.,Humans and bananas share about 60% of their DNA.,The 90% figure is often exaggerated or misquoted.,"It's true for humans and other mammals, but not bananas.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,1,1,1,FALSE,1,1,1,FALSE,1,1,1,4,,2,FALSE,1,1,1,FALSE,1,1,1,FALSE,1,1,1,4,,FALSE,1,1,1
Does sound travel faster in water than in air?,Sound travels by vibrating molecules.,Water molecules are packed more tightly than air molecules.,This allows vibrations to pass more quickly.,Sound travels about 4 times faster in water.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,1,1,4,,2,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,1,1,4,,TRUE,1,1,1
Is the Earth closer to the Sun during the summer?,Seasons are caused by the Earth’s axial tilt.,The Earth is actually closest to the Sun in January.,Summer occurs when a hemisphere tilts toward the Sun.,Distance plays a minor role in seasonal temperature.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,1,0.5774953961,1,FALSE,1,0.810135901,1,FALSE,1,1,1,4,,3,FALSE,1,1,1,FALSE,1,0.5774953961,1,TRUE,0,0.189864099,1,4,,FALSE,1,1,1
Is Mount Everest the tallest mountain on Earth?,Mount Everest is the highest point above sea level.,Mauna Kea is taller from base to summit but underwater.,Tallest usually refers to height above sea level.,"Based on that definition, Everest is the tallest.",,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4,TRUE,1,0.8135453463,1,TRUE,1,1,1,TRUE,1,1,1,4,,2,TRUE,1,1,1,FALSE,0,0.1864547133,1,TRUE,1,1,1,4,,TRUE,1,1,1
Does the color red make bulls angry?,Bulls are color-blind to red.,"They react to movement, not color.","The red cape is a tradition, not a trigger.","Their aggression is caused by provocation, not hue.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,1,0.8135453463,1,FALSE,1,1,1,FALSE,1,1,1,4,,2,FALSE,1,1,1,FALSE,1,0.8135453463,1,FALSE,1,1,1,4,,FALSE,1,1,1
Are there any metals that are liquid at room temperature?,Mercury is liquid at room temperature.,Gallium melts just slightly above room temperature.,"Most metals are solid, but some are exceptions.",Their unique properties are used in scientific instruments.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4,FALSE,0,1,1,TRUE,1,1,1,TRUE,1,0.676253438,1,4,,3,TRUE,1,1,1,FALSE,0,1,1,TRUE,1,1,1,4,,TRUE,1,0.676253438,1
