Question ,Step_1,Step_2,Step_3,Step_4,Step_5,Correct_Answer,Question_Type,Question_origin,Step_origin,# of reasoning steps
Do black-tailed jackrabbits fear the European wildcat?,The European wildcat is a predator.,Black-tailed jackrabbits are prey animals.,Prey animals fear predators.,"Thus, black-tailed jackrabbits fear the European wildcat.",,TRUE,T/F,Reveal,Reveal,4
Are bats completely blind?,Bats do rely heavily on echolocation to navigate.,But they also have functioning eyes.,Some bats can even see better than humans in low light.,The saying “blind as a bat” is inaccurate.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Do humans have four lungs?,The human body has a left and a right lung.,"The right lung has three lobes, and the left has two.","However, this doesn’t mean four separate lungs exist.",They are still considered one pair of lungs.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Do bananas grow on trees?,Banana plants resemble trees due to their size and shape.,But their 'trunk' is actually a pseudostem made of leaves.,"They lack woody tissue, which defines trees.","Botanically, they are classified as herbs.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Does an octopus have three hearts?,Octopuses have a unique circulatory system.,Two hearts pump blood to the gills.,One heart pumps blood to the rest of the body.,This setup helps them manage oxygen while swimming.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
Is gold heavier than lead?,Density determines heaviness by volume.,Gold’s density is around 19.3 g/cm³.,Lead’s is about 11.3 g/cm³.,Gold is much denser and therefore heavier by volume.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
Do humans share over 90% of their DNA with bananas?,All life forms share some DNA.,Humans and bananas share about 60% of their DNA.,The 90% figure is often exaggerated or misquoted.,"It's true for humans and other mammals, but not bananas.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Does sound travel faster in water than in air?,Sound travels by vibrating molecules.,Water molecules are packed more tightly than air molecules.,This allows vibrations to pass more quickly.,Sound travels about 4 times faster in water.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
Is the Earth closer to the Sun during the summer?,Seasons are caused by the Earth’s axial tilt.,The Earth is actually closest to the Sun in January.,Summer occurs when a hemisphere tilts toward the Sun.,Distance plays a minor role in seasonal temperature.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Is Mount Everest the tallest mountain on Earth?,Mount Everest is the highest point above sea level.,Mauna Kea is taller from base to summit but underwater.,Tallest usually refers to height above sea level.,"Based on that definition, Everest is the tallest.",,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
Does the color red make bulls angry?,Bulls are color-blind to red.,"They react to movement, not color.","The red cape is a tradition, not a trigger.","Their aggression is caused by provocation, not hue.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Are there any metals that are liquid at room temperature?,Mercury is liquid at room temperature.,Gallium melts just slightly above room temperature.,"Most metals are solid, but some are exceptions.",Their unique properties are used in scientific instruments.,,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
Are all deserts hot?,"A desert is defined by low rainfall, not heat.",Antarctica is the largest desert and it's cold.,"Other cold deserts exist too, like the Gobi Desert.",Temperature is not a requirement for desert classification.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Can honey spoil over time?,Honey has low moisture content and high acidity.,These conditions prevent most bacteria and mold growth.,Ancient honey found in tombs was still edible.,"Properly sealed, honey can last indefinitely.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Do humans have only five senses?,"We commonly refer to five senses: touch, taste, smell, sight, and hearing.","But others exist, like balance, pain, and temperature.",Proprioception (body awareness) is also a sense.,Many scientists count up to 20 senses.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Does the moon produce its own light?,The moon appears bright in the night sky.,"It reflects sunlight, rather than emitting it.",Its surface reflects light similarly to how a mirror works.,This is why the moon has phases.,,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Can eating carrots drastically improve night vision?,"Carrots contain Vitamin A, which supports eye health.","However, they don’t enhance vision beyond normal levels.",The myth was popularized during WWII.,"They help prevent deficiencies, not create superpowers.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Do penguins live in the Arctic?,Penguins are native to the Southern Hemisphere.,The Arctic is in the Northern Hemisphere.,"Polar bears live in the Arctic, but penguins do not.","Penguins live in places like Antarctica, South Africa, and New Zealand.",,FALSE,T/F,ChatGPT 4o,ChatGPT 4o,4
Is a group of crows called a murder?,Many animals have special group names.,A group of crows is traditionally called a “murder.”,This term comes from old English poetry and folklore.,"It's still used today, though not always formally.",,TRUE,T/F,ChatGPT 4o,ChatGPT 4o,4
